param nv := 7;
param: xv	  yv:=
221   -4  251
222   -4  266
223   -4  281
224   -4  296
225   11  -184
226   11  -169
227   11  -154
228   11  -139
229   11  -124
230   11  -109
231   11  -94
232   11  -79
233   11  221
234   11  236
235   11  251
236   11  266
237   11  281
238   11  296
239   26  -184
240   26  -169
241   26  -154
242   26  -139
243   26  -124
244   26  -109
245   26  -94
246   26  -79
247   26  221
248   26  236
249   26  251
250   26  266
251   26  281
252   26  296
253   41  -184
254   41  -169
255   41  -154
256   41  -139
257   41  -124
258   41  -109
259   41  -94
260   41  221
261   41  236
262   41  251
263   41  266
264   41  281
265   41  296
266   56  -184
267   56  -169
268   56  -154
269   56  -139
270   56  -124
271   56  -109
272   56  -94
273   56  206
274   56  221
275   56  236
276   56  251
277   56  266
278   56  281
279   71  -184
280   71  -169
281   71  -154
282   71  -139
283   71  -124
284   71  -109
285   71  -94
286   71  191
287   71  206
288   71  221
289   71  236
290   71  251
291   71  266
292   71  281
293   86  -184
294   86  -169
295   86  -154
296   86  -139
297   86  -124
298   86  -109
299   86  -94
300   86  191
301   86  206
302   86  221
303   86  236
304   86  251
305   86  266
306   86  281
307   101  -169
308   101  -154
309   101  -139
310   101  -124
311   101  -109
312   101  176
313   101  191
314   101  206
315   101  221
316   101  236
317   101  251
318   101  266
319   101  281
320   116  -169
321   116  -154
322   116  -139
323   116  -124
324   116  -109
325   116  176
326   116  191
327   116  206
328   116  221
329   116  236
330   116  251
331   116  266
332   131  -154
333   131  -139
334   131  -124
335   131  -109
336   131  161
337   131  176
338   131  191
339   131  206
340   131  221
341   131  236
342   131  251
343   131  266
344   146  -154
345   146  -139
346   146  -124
347   146  146
348   146  161
349   146  176
350   146  191
351   146  206
352   146  221
353   146  236
354   146  251
355   161  -139
356   161  -124
357   161  146
358   161  161
359   161  176
360   161  191
361   161  206
362   161  221
363   161  236
364   176  -124
365   176  131
366   176  146
367   176  161
368   176  176
369   176  191
370   176  206
371   176  221
372   191  -109
373   191  -94
374   191  -79
375   191  -64
376   191  -49
377   191  -34
378   191  -19
379   191  -4
380   191  11
381   191  26
382   191  41
383   191  56
384   191  116
385   191  131
386   191  146
387   191  161
388   191  176
389   191  191
390   191  206
391   206  -94
392   206  -79
393   206  -64
394   206  -49
395   206  -34
396   206  -19
397   206  -4
398   206  11
399   206  26
400   206  41
401   206  56
402   206  71
403   206  86
404   206  101
405   206  116
406   206  131
407   206  146
408   206  161
409   206  176
410   206  191
411   221  -64
412   221  -49
413   221  -34
414   221  -19
415   221  -4
416   221  11
417   221  26
418   221  41
419   221  56
420   221  71
421   221  86
422   221  101
423   221  116
424   221  131
425   221  146
426   221  161
427   221  176
428   236  -34
429   236  -19
430   236  -4
431   236  11
432   236  26
433   236  41
434   236  56
435   236  71
436   236  86
437   236  101
438   236  116
439   236  131
440   236  146
441   251  11
442   251  26
443   251  41
444   251  56
445   251  71
446   251  86
;
